global_id,motor_id,joint_name,original_min,original_max,safe_min,safe_max,margin
0,1,LeftHipPitch,-2.3562,2.3562,-2.268934,2.268934,0.087266
1,2,LeftHipRoll,-0.5236,1.7453,-0.436334,1.658034,0.087266
2,3,LeftHipYaw,-2.7925,2.7925,-2.705234,2.705234,0.087266
3,4,LeftKnee,-0.0873,2.1817,-0.000034,2.094434,0.087266
4,5,LeftAnklePitch,-0.7854,0.2967,-0.698134,0.209434,0.087266
5,6,LeftAnkleRoll,-0.3665,0.3665,-0.279234,0.279234,0.087266
8,9,RightHipPitch,-2.3562,2.3562,-2.268934,2.268934,0.087266
9,10,RightHipRoll,-1.7453,0.5236,-1.658034,0.436334,0.087266
10,11,RightHipYaw,-2.7925,2.7925,-2.705234,2.705234,0.087266
11,12,RightKnee,-0.0873,2.1817,-0.000034,2.094434,0.087266
12,13,RightAnklePitch,-0.7854,0.2967,-0.698134,0.209434,0.087266
13,14,RightAnkleRoll,-0.3665,0.3665,-0.279234,0.279234,0.087266
16,17,WaistRoll,-0.5236,0.5236,-0.436334,0.436334,0.087266
17,18,WaistPitch,-0.2618,0.4363,-0.174534,0.349034,0.087266
18,19,WaistYaw,-2.7925,2.7925,-2.705234,2.705234,0.087266
24,1,LeftShoulderPitch,-3.0892,2.6704,-3.001934,2.583134,0.087266
25,2,LeftShoulderRoll,-0.2618,2.0944,-0.174534,2.007134,0.087266
26,3,LeftShoulderYaw,-2.7925,2.7925,-2.705234,2.705234,0.087266
27,4,LeftElbow,-0.5061,2.6179,-0.418834,2.530634,0.087266
28,5,LeftForearmRoll,-2.7925,2.7925,-2.705234,2.705234,0.087266
29,6,LeftWristPitch,-1.3963,1.3963,-1.309034,1.309034,0.087266
30,7,LeftWristYaw,-1.5708,1.5708,-1.483534,1.483534,0.087266
32,9,RightShoulderPitch,-3.0892,2.6704,-3.001934,2.583134,0.087266
33,10,RightShoulderRoll,-2.0944,0.2618,-2.007134,0.174534,0.087266
34,11,RightShoulderYaw,-2.7925,2.7925,-2.705234,2.705234,0.087266
35,12,RightElbow,-0.5061,2.6179,-0.418834,2.530634,0.087266
36,13,RightForearmRoll,-2.7925,2.7925,-2.705234,2.705234,0.087266
37,14,RightWristPitch,-1.3963,1.3963,-1.309034,1.309034,0.087266
38,15,RightWristYaw,-1.5708,1.5708,-1.483534,1.483534,0.087266
